UF;Tipo Crime;Ano;Mês;Ocorrências
Acre;Lesão corporal seguida de morte;2017;6;0
Acre;Roubo a instituição financeira;2017;6;0
Acre;Roubo de carga;2017;6;2
Acre;Roubo de veículo;2017;6;85
Acre;Roubo seguido de morte (latrocínio);2017;6;2
Acre;Tentativa de homicídio;2017;6;4
Acre;Estupro;2017;7;19
Acre;Furto de veículo;2017;7;76
Acre;Homicídio doloso;2017;7;26
Acre;Lesão corporal seguida de morte;2017;7;0
Acre;Roubo a instituição financeira;2017;7;0
Acre;Roubo de carga;2017;7;1
Acre;Roubo de veículo;2017;7;124
Acre;Roubo seguido de morte (latrocínio);2017;7;2
Acre;Tentativa de homicídio;2017;7;9
Acre;Estupro;2017;8;17
Acre;Furto de veículo;2017;8;79
Acre;Homicídio doloso;2017;8;19
Acre;Lesão corporal seguida de morte;2017;8;0
Acre;Roubo a instituição financeira;2017;8;0
Acre;Roubo de carga;2017;8;0
Acre;Roubo de veículo;2017;8;112
Acre;Roubo seguido de morte (latrocínio);2017;8;1
Acre;Tentativa de homicídio;2017;8;9
Acre;Estupro;2017;9;14
Acre;Furto de veículo;2017;9;93
Acre;Homicídio doloso;2017;9;24
Acre;Lesão corporal seguida de morte;2017;9;0
Acre;Roubo a instituição financeira;2017;9;2
Acre;Roubo de carga;2017;9;0
Acre;Roubo de veículo;2017;9;127
Acre;Roubo seguido de morte (latrocínio);2017;9;0
Acre;Tentativa de homicídio;2017;9;8
Acre;Estupro;2017;10;18
Acre;Furto de veículo;2017;10;113
Acre;Homicídio doloso;2017;10;19
Acre;Lesão corporal seguida de morte;2017;10;0
Acre;Roubo a instituição financeira;2017;10;1
Acre;Roubo de carga;2017;10;0
Acre;Roubo de veículo;2017;10;139
Acre;Roubo seguido de morte (latrocínio);2017;10;0
Acre;Tentativa de homicídio;2017;10;12
Acre;Estupro;2017;11;13
Acre;Furto de veículo;2017;11;65
Acre;Homicídio doloso;2017;11;20
Acre;Lesão corporal seguida de morte;2017;11;0
Acre;Roubo a instituição financeira;2017;11;0
Acre;Roubo de carga;2017;11;0
Acre;Roubo de veículo;2017;11;100
Acre;Roubo seguido de morte (latrocínio);2017;11;2
Acre;Tentativa de homicídio;2017;11;7
Acre;Estupro;2017;12;18
Acre;Furto de veículo;2017;12;67
Acre;Homicídio doloso;2017;12;10
Acre;Lesão corporal seguida de morte;2017;12;0
Acre;Roubo a instituição financeira;2017;12;2
Acre;Roubo de carga;2017;12;0
Acre;Roubo de veículo;2017;12;107
Acre;Roubo seguido de morte (latrocínio);2017;12;0
Acre;Tentativa de homicídio;2017;12;8
Acre;Estupro;2018;1;14
Acre;Furto de veículo;2018;1;74
Acre;Homicídio doloso;2018;1;51
Acre;Lesão corporal seguida de morte;2018;1;0
Acre;Roubo a instituição financeira;2018;1;1
Acre;Roubo de carga;2018;1;0
Acre;Roubo de veículo;2018;1;110
