UF;Tipo Crime;Ano;Mês;Vítimas
Alagoas;Lesão corporal seguida de morte;2019;3;0
Alagoas;Lesão corporal seguida de morte;2019;4;0
Alagoas;Lesão corporal seguida de morte;2019;5;2
Alagoas;Lesão corporal seguida de morte;2019;6;0
Alagoas;Lesão corporal seguida de morte;2019;7;0
Alagoas;Lesão corporal seguida de morte;2019;9;1
Alagoas;Lesão corporal seguida de morte;2019;10;1
Alagoas;Lesão corporal seguida de morte;2019;11;1
Alagoas;Lesão corporal seguida de morte;2019;12;0
Alagoas;Roubo seguido de morte (latrocínio);2015;1;5
Alagoas;Roubo seguido de morte (latrocínio);2015;2;6
Alagoas;Roubo seguido de morte (latrocínio);2015;3;8
Alagoas;Roubo seguido de morte (latrocínio);2015;4;2
Alagoas;Roubo seguido de morte (latrocínio);2015;5;6
Alagoas;Roubo seguido de morte (latrocínio);2015;6;2
Alagoas;Roubo seguido de morte (latrocínio);2015;7;8
Alagoas;Roubo seguido de morte (latrocínio);2015;8;6
Alagoas;Roubo seguido de morte (latrocínio);2015;9;3
Alagoas;Roubo seguido de morte (latrocínio);2015;10;1
Alagoas;Roubo seguido de morte (latrocínio);2015;11;5
Alagoas;Roubo seguido de morte (latrocínio);2015;12;4
Alagoas;Roubo seguido de morte (latrocínio);2016;1;6
Alagoas;Roubo seguido de morte (latrocínio);2016;2;5
Alagoas;Roubo seguido de morte (latrocínio);2016;3;2
Alagoas;Roubo seguido de morte (latrocínio);2016;4;9
Alagoas;Roubo seguido de morte (latrocínio);2016;5;10
Alagoas;Roubo seguido de morte (latrocínio);2016;6;5
Alagoas;Roubo seguido de morte (latrocínio);2016;7;2
Alagoas;Roubo seguido de morte (latrocínio);2016;8;4
Alagoas;Roubo seguido de morte (latrocínio);2016;9;3
Alagoas;Roubo seguido de morte (latrocínio);2016;10;4
Alagoas;Roubo seguido de morte (latrocínio);2016;11;6
Alagoas;Roubo seguido de morte (latrocínio);2016;12;5
Alagoas;Roubo seguido de morte (latrocínio);2017;1;7
Alagoas;Roubo seguido de morte (latrocínio);2017;2;6
Alagoas;Roubo seguido de morte (latrocínio);2017;3;4
Alagoas;Roubo seguido de morte (latrocínio);2017;4;4
Alagoas;Roubo seguido de morte (latrocínio);2017;5;4
Alagoas;Roubo seguido de morte (latrocínio);2017;6;6
Alagoas;Roubo seguido de morte (latrocínio);2017;7;1
Alagoas;Roubo seguido de morte (latrocínio);2017;8;8
Alagoas;Roubo seguido de morte (latrocínio);2017;9;6
Alagoas;Roubo seguido de morte (latrocínio);2017;10;3
Alagoas;Roubo seguido de morte (latrocínio);2017;11;6
Alagoas;Roubo seguido de morte (latrocínio);2017;12;4
Alagoas;Roubo seguido de morte (latrocínio);2018;1;5
Alagoas;Roubo seguido de morte (latrocínio);2018;2;3
Alagoas;Roubo seguido de morte (latrocínio);2018;3;6
Alagoas;Roubo seguido de morte (latrocínio);2018;4;3
Alagoas;Roubo seguido de morte (latrocínio);2018;5;1
Alagoas;Roubo seguido de morte (latrocínio);2018;6;2
Alagoas;Roubo seguido de morte (latrocínio);2018;7;0
Alagoas;Roubo seguido de morte (latrocínio);2018;8;6
Alagoas;Roubo seguido de morte (latrocínio);2018;9;7
Alagoas;Roubo seguido de morte (latrocínio);2018;10;3
Alagoas;Roubo seguido de morte (latrocínio);2018;11;0
Alagoas;Roubo seguido de morte (latrocínio);2018;12;3
Alagoas;Roubo seguido de morte (latrocínio);2019;1;1
Alagoas;Roubo seguido de morte (latrocínio);2019;2;3
Alagoas;Roubo seguido de morte (latrocínio);2019;3;2
Alagoas;Roubo seguido de morte (latrocínio);2019;4;1
Alagoas;Roubo seguido de morte (latrocínio);2019;5;1
Alagoas;Roubo seguido de morte (latrocínio);2019;7;2
Alagoas;Roubo seguido de morte (latrocínio);2019;8;1
Alagoas;Roubo seguido de morte (latrocínio);2019;9;0
Alagoas;Roubo seguido de morte (latrocínio);2019;11;2
Alagoas;Roubo seguido de morte (latrocínio);2019;12;2
Alagoas;Roubo seguido de morte (latrocínio);2020;1;4
Alagoas;Roubo seguido de morte (latrocínio);2020;2;4
Alagoas;Roubo seguido de morte (latrocínio);2020;3;1
Amapá;Homicídio doloso;2015;1;20
Amapá;Homicídio doloso;2015;2;15
Amapá;Homicídio doloso;2015;3;26
Amapá;Homicídio doloso;2015;4;16
Amapá;Homicídio doloso;2015;5;18
Amapá;Homicídio doloso;2015;6;17
Amapá;Homicídio doloso;2015;7;27
Amapá;Homicídio doloso;2015;8;22
Amapá;Homicídio doloso;2015;9;13
Amapá;Homicídio doloso;2015;10;25
Amapá;Homicídio doloso;2015;11;25
Amapá;Homicídio doloso;2015;12;30
Amapá;Homicídio doloso;2016;1;20
Amapá;Homicídio doloso;2016;2;20
Amapá;Homicídio doloso;2016;3;19
Amapá;Homicídio doloso;2016;4;23
Amapá;Homicídio doloso;2016;5;20
Amapá;Homicídio doloso;2016;6;28
Amapá;Homicídio doloso;2016;7;25
Amapá;Homicídio doloso;2016;8;18
Amapá;Homicídio doloso;2016;9;26
Amapá;Homicídio doloso;2016;10;40
Amapá;Homicídio doloso;2016;11;22
Amapá;Homicídio doloso;2016;12;17
Amapá;Homicídio doloso;2017;1;19
Amapá;Homicídio doloso;2017;2;13
Amapá;Homicídio doloso;2017;3;23
Amapá;Homicídio doloso;2017;4;23
Amapá;Homicídio doloso;2017;5;9
Amapá;Homicídio doloso;2017;6;23
Amapá;Homicídio doloso;2017;7;21
Amapá;Homicídio doloso;2017;8;36
Amapá;Homicídio doloso;2017;9;30
Amapá;Homicídio doloso;2017;10;35
Amapá;Homicídio doloso;2017;11;27
Amapá;Homicídio doloso;2017;12;15
Amapá;Homicídio doloso;2018;1;24
Amapá;Homicídio doloso;2018;2;15
Amapá;Homicídio doloso;2018;3;23
Amapá;Homicídio doloso;2018;4;24
Amapá;Homicídio doloso;2018;5;24
Amapá;Homicídio doloso;2018;6;25
Amapá;Homicídio doloso;2018;7;24
Amapá;Homicídio doloso;2018;8;25
Amapá;Homicídio doloso;2018;9;32
Amapá;Homicídio doloso;2018;10;27
Amapá;Homicídio doloso;2018;11;27
Amapá;Homicídio doloso;2018;12;58
Amapá;Homicídio doloso;2019;1;11
Amapá;Homicídio doloso;2019;2;19
Amapá;Homicídio doloso;2019;3;23
Amapá;Homicídio doloso;2019;4;28
Amapá;Homicídio doloso;2019;5;26
Amapá;Homicídio doloso;2019;6;18
Amapá;Homicídio doloso;2019;7;17
Amapá;Homicídio doloso;2019;8;13
Amapá;Homicídio doloso;2019;9;22
Amapá;Homicídio doloso;2019;10;18
Amapá;Homicídio doloso;2019;11;26
Amapá;Homicídio doloso;2019;12;15
Amapá;Homicídio doloso;2020;1;27
Amapá;Homicídio doloso;2020;2;18
Amapá;Homicídio doloso;2020;3;21
Amapá;Lesão corporal seguida de morte;2015;8;1
Amapá;Lesão corporal seguida de morte;2015;9;1
Amapá;Lesão corporal seguida de morte;2016;7;2
Amapá;Lesão corporal seguida de morte;2016;12;2
Amapá;Lesão corporal seguida de morte;2017;1;4
Amapá;Lesão corporal seguida de morte;2017;3;1
Amapá;Lesão corporal seguida de morte;2017;4;2
Amapá;Lesão corporal seguida de morte;2017;5;3
Amapá;Lesão corporal seguida de morte;2017;8;1
Amapá;Lesão corporal seguida de morte;2017;9;4
Amapá;Lesão corporal seguida de morte;2017;11;1
Amapá;Lesão corporal seguida de morte;2017;12;4
Amapá;Lesão corporal seguida de morte;2018;1;3
Amapá;Lesão corporal seguida de morte;2018;2;4
Amapá;Lesão corporal seguida de morte;2018;3;3
Amapá;Lesão corporal seguida de morte;2018;4;2
Amapá;Lesão corporal seguida de morte;2018;5;2
Amapá;Lesão corporal seguida de morte;2018;6;3
Amapá;Lesão corporal seguida de morte;2018;7;2
Amapá;Lesão corporal seguida de morte;2018;8;6
Amapá;Lesão corporal seguida de morte;2018;9;1
Amapá;Lesão corporal seguida de morte;2018;10;3
Amapá;Lesão corporal seguida de morte;2018;11;6
Amapá;Lesão corporal seguida de morte;2018;12;8
Amapá;Lesão corporal seguida de morte;2019;1;2
Amapá;Lesão corporal seguida de morte;2019;2;1
Amapá;Lesão corporal seguida de morte;2019;3;1
Amapá;Lesão corporal seguida de morte;2019;4;3
