nome,tipo_crime,ano,mes,vitimas,ocorrencias,uf
Alagoas,Roubo seguido de morte (latrocínio),2019,3,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,4,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,5,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,7,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,8,1.0,1.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,9,0.0,0.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,11,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2019,12,2.0,2.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2020,1,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2020,2,4.0,4.0,AL
Alagoas,Roubo seguido de morte (latrocínio),2020,3,1.0,1.0,AL
Amapá,Homicídio doloso,2015,1,20.0,20.0,AP
Amapá,Homicídio doloso,2015,2,15.0,15.0,AP
Amapá,Homicídio doloso,2015,3,26.0,25.0,AP
Amapá,Homicídio doloso,2015,4,16.0,16.0,AP
Amapá,Homicídio doloso,2015,5,18.0,17.0,AP
Amapá,Homicídio doloso,2015,6,17.0,17.0,AP
Amapá,Homicídio doloso,2015,7,27.0,26.0,AP
Amapá,Homicídio doloso,2015,8,22.0,22.0,AP
Amapá,Homicídio doloso,2015,9,13.0,13.0,AP
Amapá,Homicídio doloso,2015,10,25.0,25.0,AP
Amapá,Homicídio doloso,2015,11,25.0,25.0,AP
Amapá,Homicídio doloso,2015,12,30.0,27.0,AP
Amapá,Homicídio doloso,2016,1,20.0,19.0,AP
Amapá,Homicídio doloso,2016,2,20.0,19.0,AP
Amapá,Homicídio doloso,2016,3,19.0,18.0,AP
Amapá,Homicídio doloso,2016,4,23.0,23.0,AP
Amapá,Homicídio doloso,2016,5,20.0,20.0,AP
Amapá,Homicídio doloso,2016,6,28.0,27.0,AP
Amapá,Homicídio doloso,2016,7,25.0,25.0,AP
Amapá,Homicídio doloso,2016,8,18.0,18.0,AP
Amapá,Homicídio doloso,2016,9,26.0,26.0,AP
Amapá,Homicídio doloso,2016,10,40.0,36.0,AP
Amapá,Homicídio doloso,2016,11,22.0,22.0,AP
Amapá,Homicídio doloso,2016,12,17.0,17.0,AP
Amapá,Homicídio doloso,2017,1,19.0,19.0,AP
Amapá,Homicídio doloso,2017,2,13.0,12.0,AP
Amapá,Homicídio doloso,2017,3,23.0,22.0,AP
Amapá,Homicídio doloso,2017,4,23.0,23.0,AP
Amapá,Homicídio doloso,2017,5,9.0,9.0,AP
Amapá,Homicídio doloso,2017,6,23.0,20.0,AP
Amapá,Homicídio doloso,2017,7,21.0,21.0,AP
Amapá,Homicídio doloso,2017,8,36.0,34.0,AP
Amapá,Homicídio doloso,2017,9,30.0,30.0,AP
Amapá,Homicídio doloso,2017,10,35.0,34.0,AP
Amapá,Homicídio doloso,2017,11,27.0,26.0,AP
Amapá,Homicídio doloso,2017,12,15.0,15.0,AP
Amapá,Homicídio doloso,2018,1,24.0,7.0,AP
Amapá,Homicídio doloso,2018,2,15.0,14.0,AP
Amapá,Homicídio doloso,2018,3,23.0,17.0,AP
Amapá,Homicídio doloso,2018,4,24.0,27.0,AP
Amapá,Homicídio doloso,2018,5,24.0,14.0,AP
Amapá,Homicídio doloso,2018,6,25.0,22.0,AP
Amapá,Homicídio doloso,2018,7,24.0,19.0,AP
Amapá,Homicídio doloso,2018,8,25.0,31.0,AP
Amapá,Homicídio doloso,2018,9,32.0,31.0,AP
Amapá,Homicídio doloso,2018,10,27.0,39.0,AP
Amapá,Homicídio doloso,2018,11,27.0,28.0,AP
Amapá,Homicídio doloso,2018,12,58.0,37.0,AP
Amapá,Homicídio doloso,2019,1,11.0,11.0,AP
Amapá,Homicídio doloso,2019,2,19.0,19.0,AP
Amapá,Homicídio doloso,2019,3,23.0,23.0,AP
Amapá,Homicídio doloso,2019,4,28.0,26.0,AP
Amapá,Homicídio doloso,2019,5,26.0,26.0,AP
Amapá,Homicídio doloso,2019,6,18.0,18.0,AP
Amapá,Homicídio doloso,2019,7,17.0,16.0,AP
Amapá,Homicídio doloso,2019,8,13.0,13.0,AP
Amapá,Homicídio doloso,2019,9,22.0,22.0,AP
Amapá,Homicídio doloso,2019,10,18.0,17.0,AP
Amapá,Homicídio doloso,2019,11,26.0,26.0,AP
Amapá,Homicídio doloso,2019,12,15.0,15.0,AP
Amapá,Homicídio doloso,2020,1,27.0,26.0,AP
Amapá,Homicídio doloso,2020,2,18.0,18.0,AP
Amapá,Homicídio doloso,2020,3,21.0,21.0,AP
Amapá,Lesão corporal seguida de morte,2015,8,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2015,9,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2016,7,2.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2016,12,2.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2017,1,4.0,4.0,AP
Amapá,Lesão corporal seguida de morte,2017,3,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2017,4,2.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2017,5,3.0,3.0,AP
Amapá,Lesão corporal seguida de morte,2017,8,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2017,9,4.0,4.0,AP
Amapá,Lesão corporal seguida de morte,2017,11,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2017,12,4.0,4.0,AP
Amapá,Lesão corporal seguida de morte,2018,1,3.0,0.0,AP
Amapá,Lesão corporal seguida de morte,2018,2,4.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2018,3,3.0,3.0,AP
Amapá,Lesão corporal seguida de morte,2018,4,2.0,8.0,AP
Amapá,Lesão corporal seguida de morte,2018,5,2.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2018,6,3.0,0.0,AP
Amapá,Lesão corporal seguida de morte,2018,7,2.0,0.0,AP
Amapá,Lesão corporal seguida de morte,2018,8,6.0,7.0,AP
Amapá,Lesão corporal seguida de morte,2018,9,1.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2018,10,3.0,3.0,AP
Amapá,Lesão corporal seguida de morte,2018,11,6.0,3.0,AP
Amapá,Lesão corporal seguida de morte,2018,12,8.0,4.0,AP
Amapá,Lesão corporal seguida de morte,2019,1,2.0,2.0,AP
Amapá,Lesão corporal seguida de morte,2019,2,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2019,3,1.0,1.0,AP
Amapá,Lesão corporal seguida de morte,2019,4,3.0,3.0,AP
